"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","split"
"73",6.3,2.5,4.9,1.5,"versicolor","train"
"74",6.1,2.8,4.7,1.2,"versicolor","train"
"75",6.4,2.9,4.3,1.3,"versicolor","train"
"76",6.6,3,4.4,1.4,"versicolor","train"
"77",6.8,2.8,4.8,1.4,"versicolor","train"
"78",6.7,3,5,1.7,"versicolor","test"
"79",6,2.9,4.5,1.5,"versicolor","test"
"80",5.7,2.6,3.5,1,"versicolor","train"
"81",5.5,2.4,3.8,1.1,"versicolor","test"
"82",5.5,2.4,3.7,1,"versicolor","test"
"83",5.8,2.7,3.9,1.2,"versicolor","train"
"84",6,2.7,5.1,1.6,"versicolor","test"
"85",5.4,3,4.5,1.5,"versicolor","train"
"86",6,3.4,4.5,1.6,"versicolor","train"
"87",6.7,3.1,4.7,1.5,"versicolor","train"
"88",6.3,2.3,4.4,1.3,"versicolor","train"
"89",5.6,3,4.1,1.3,"versicolor","test"
"90",5.5,2.5,4,1.3,"versicolor","train"
"91",5.5,2.6,4.4,1.2,"versicolor","test"
"92",6.1,3,4.6,1.4,"versicolor","train"
"93",5.8,2.6,4,1.2,"versicolor","train"
"94",5,2.3,3.3,1,"versicolor","train"
"95",5.6,2.7,4.2,1.3,"versicolor","train"
"96",5.7,3,4.2,1.2,"versicolor","train"
"97",5.7,2.9,4.2,1.3,"versicolor","test"
"98",6.2,2.9,4.3,1.3,"versicolor","train"
"99",5.1,2.5,3,1.1,"versicolor","train"
"100",5.7,2.8,4.1,1.3,"versicolor","train"
"101",6.3,3.3,6,2.5,"virginica","test"
"102",5.8,2.7,5.1,1.9,"virginica","train"
"103",7.1,3,5.9,2.1,"virginica","train"
"104",6.3,2.9,5.6,1.8,"virginica","train"
"105",6.5,3,5.8,2.2,"virginica","train"
"106",7.6,3,6.6,2.1,"virginica","train"
"107",4.9,2.5,4.5,1.7,"virginica","train"
"108",7.3,2.9,6.3,1.8,"virginica","train"
"109",6.7,2.5,5.8,1.8,"virginica","train"
"110",7.2,3.6,6.1,2.5,"virginica","train"
"111",6.5,3.2,5.1,2,"virginica","train"
"112",6.4,2.7,5.3,1.9,"virginica","train"
"113",6.8,3,5.5,2.1,"virginica","train"
"114",5.7,2.5,5,2,"virginica","train"
"115",5.8,2.8,5.1,2.4,"virginica","train"
"116",6.4,3.2,5.3,2.3,"virginica","train"
"117",6.5,3,5.5,1.8,"virginica","train"
"118",7.7,3.8,6.7,2.2,"virginica","train"
"119",7.7,2.6,6.9,2.3,"virginica","train"
"120",6,2.2,5,1.5,"virginica","train"
"121",6.9,3.2,5.7,2.3,"virginica","test"
"122",5.6,2.8,4.9,2,"virginica","train"
"123",7.7,2.8,6.7,2,"virginica","train"
"124",6.3,2.7,4.9,1.8,"virginica","train"
"125",6.7,3.3,5.7,2.1,"virginica","train"
"126",7.2,3.2,6,1.8,"virginica","train"
"127",6.2,2.8,4.8,1.8,"virginica","train"
"128",6.1,3,4.9,1.8,"virginica","test"
"129",6.4,2.8,5.6,2.1,"virginica","train"
"130",7.2,3,5.8,1.6,"virginica","test"
"131",7.4,2.8,6.1,1.9,"virginica","train"
"132",7.9,3.8,6.4,2,"virginica","train"
"133",6.4,2.8,5.6,2.2,"virginica","train"
"134",6.3,2.8,5.1,1.5,"virginica","train"
"135",6.1,2.6,5.6,1.4,"virginica","train"
"136",7.7,3,6.1,2.3,"virginica","train"
"137",6.3,3.4,5.6,2.4,"virginica","train"
"138",6.4,3.1,5.5,1.8,"virginica","test"
"139",6,3,4.8,1.8,"virginica","train"
"140",6.9,3.1,5.4,2.1,"virginica","train"
"141",6.7,3.1,5.6,2.4,"virginica","train"
"142",6.9,3.1,5.1,2.3,"virginica","train"
"143",5.8,2.7,5.1,1.9,"virginica","train"
"144",6.8,3.2,5.9,2.3,"virginica","train"
"145",6.7,3.3,5.7,2.5,"virginica","train"
"146",6.7,3,5.2,2.3,"virginica","train"
"147",6.3,2.5,5,1.9,"virginica","train"
"148",6.5,3,5.2,2,"virginica","train"
"149",6.2,3.4,5.4,2.3,"virginica","train"
"150",5.9,3,5.1,1.8,"virginica","train"
